,claim_id,claim_status,claim_open_date,claim_close_date,claim_reason,claim_amount,policy_number,beneficiary_id,date_of_loss,amount_claimed,amount_paid
116,C50c2e82ddd50116,1.0,2009-10-13,2009-10-29,1.0,1666.0,Paf676792116,116.0,2022-12-02,9584.0,2439.0
118,C50c2e82ddd50118,1.0,2017-06-03,2017-11-03,0.0,4106.0,Paf676795118,118.0,2019-06-23,48548.0,38836.0
119,C50c2e82ddd50119,0.0,2021-09-22,2021-09-30,2.0,539.0,Paf676797119,119.0,2021-02-09,13115.0,7895.0
121,C50c2e82ddd50121,0.0,2013-04-25,2013-05-21,2.0,706.0,Paf67679a121,121.0,2021-09-28,30341.0,28526.0
123,C50c2e82ddd50123,0.0,2016-04-03,2016-05-14,1.0,169.0,Paf678ea3123,123.0,2019-03-10,49343.0,14127.0
124,C50c2e82ddd50124,1.0,2020-02-12,2020-06-20,1.0,4302.0,Paf678ea5124,124.0,2020-05-27,9030.0,7263.0
126,C50c2e82ddd50126,0.0,2013-02-12,2013-02-14,5.0,3132.0,Paf678ea8126,126.0,2019-07-22,10827.0,3578.0
127,C50c2e82ddd50127,1.0,2021-08-31,2021-10-15,5.0,1676.0,Paf678eaa127,127.0,2020-08-06,22502.0,6436.0
130,C50c2e82ddd50130,0.0,2004-11-19,2005-03-25,2.0,3819.0,Paf67b5b8130,130.0,2007-12-09,36101.0,7229.0
131,C50c2e82ddd50131,0.0,2021-12-10,2022-01-03,2.0,1358.0,Paf67b5ba131,131.0,2021-07-04,3839.0,833.0
132,C50c2e82ddd50132,1.0,2017-03-25,2017-05-25,1.0,1164.0,Paf67b5bc132,132.0,2017-02-02,44384.0,16597.0
134,C50c2e82ddd50134,1.0,2014-12-27,2015-02-21,3.0,2304.0,Paf67dcc7134,134.0,2017-12-23,44111.0,30832.0
138,C50c2e82ddd50138,1.0,2002-06-30,2002-07-09,1.0,2388.0,Paf67dccc138,138.0,2010-02-25,13417.0,2863.0
140,C50c2e82ddd50140,0.0,2018-12-01,2019-03-06,4.0,2556.0,Paf67dccf140,140.0,2018-03-06,7274.0,2730.0
142,C50c2e82ddd50142,1.0,2020-02-25,2020-06-25,3.0,979.0,Paf6803d9142,142.0,2020-12-13,29960.0,15911.0
144,C50c2e82ddd50144,0.0,2021-07-20,2021-07-28,4.0,2800.0,Paf6803dc144,144.0,2021-03-27,45598.0,31563.0
145,C50c2e82ddd50145,1.0,2017-10-08,2017-12-08,4.0,3078.0,Paf6803de145,145.0,2020-12-14,3782.0,1949.0
148,C50c2e82ddd50148,0.0,2018-02-10,2018-05-23,0.0,4544.0,Paf682aea148,148.0,2020-05-28,10832.0,9216.0
151,C50c2e82ddd50151,1.0,2012-08-09,2012-09-04,5.0,2955.0,Paf682aee151,151.0,2022-12-25,30449.0,20567.0
152,C50c2e82ddd50152,0.0,2015-03-14,2015-06-03,3.0,965.0,Paf682af0152,152.0,2022-12-28,26771.0,19734.0
154,C50c2e82ddd50154,0.0,2008-08-03,2008-09-11,2.0,2833.0,Paf682af3154,154.0,2007-10-08,33097.0,14818.0
157,C50c2e82ddd50157,1.0,2018-02-22,2018-04-09,1.0,708.0,Paf6851ff157,157.0,2021-05-13,30071.0,4337.0
158,C50c2e82ddd50158,0.0,2022-12-11,2022-12-27,0.0,3243.0,Paf685201158,158.0,2022-06-01,45596.0,4756.0
159,C50c2e82ddd50159,0.0,2020-07-21,2020-10-24,0.0,709.0,Paf685203159,159.0,2022-10-15,31756.0,20013.0
160,C50c2e82ddd50160,0.0,2023-03-01,2023-03-02,2.0,2959.0,Paf685205160,160.0,2022-11-20,12543.0,7859.0
162,C50c2e82ddd50162,1.0,2023-03-12,2023-03-29,4.0,1432.0,Paf687911162,162.0,2022-11-28,49584.0,28706.0
166,C50c2e82ddd50166,0.0,2003-03-08,2003-03-15,5.0,1594.0,Paf687916166,166.0,2022-10-15,6756.0,723.0
168,C50c2e82ddd50168,1.0,2020-12-20,2021-01-27,1.0,212.0,Paf687919168,168.0,2021-07-27,3741.0,2632.0
176,C50c2e82ddd50176,1.0,2009-10-13,2009-10-16,3.0,3555.0,Paf68a02d176,176.0,2014-02-03,30927.0,14916.0
181,C50c2e82ddd50181,1.0,2016-06-20,2016-08-12,0.0,1552.0,Paf68c739181,181.0,2021-09-01,1293.0,661.0
182,C50c2e82ddd50182,1.0,2015-09-03,2015-10-10,0.0,4013.0,Paf68c73b182,182.0,2018-10-19,48687.0,44957.0
183,C50c2e82ddd50183,1.0,2015-05-29,2015-07-22,3.0,2162.0,Paf68c73d183,183.0,2016-03-07,18785.0,8673.0
184,C50c2e82ddd50184,0.0,2022-06-08,2022-07-29,1.0,3545.0,Paf68c73f184,184.0,2022-08-18,45189.0,30583.0
185,C50c2e82ddd50185,1.0,2021-08-31,2021-10-17,2.0,2961.0,Paf68ee48185,185.0,2021-10-03,36621.0,34724.0
186,C50c2e82ddd50186,0.0,2003-01-21,2003-05-24,2.0,2224.0,Paf68ee4a186,186.0,2004-12-23,38661.0,4149.0
187,C50c2e82ddd50187,1.0,2019-05-03,2019-12-01,5.0,892.0,Paf68ee4c187,187.0,2022-01-23,16172.0,10610.0
190,C50c2e82ddd50190,1.0,2006-01-13,2006-02-08,2.0,4790.0,Paf68ee50190,190.0,2009-01-18,38628.0,27937.0
192,C50c2e82ddd50192,1.0,2022-03-22,2022-03-24,3.0,3393.0,Paf69155a192,192.0,2022-10-16,47835.0,41861.0
200,C50c2e82ddd50200,1.0,2022-07-15,2022-10-10,5.0,558.0,Paf693c6c200,200.0,2022-10-02,38320.0,35813.0
202,C50c2e82ddd50202,0.0,2022-07-21,2022-08-16,4.0,766.0,Paf693c6f202,202.0,2022-04-20,45186.0,44134.0
204,C50c2e82ddd50204,1.0,2022-07-29,2022-10-20,5.0,2218.0,Paf693c72204,204.0,2022-02-18,31585.0,5201.0
208,C50c2e82ddd50208,0.0,2023-03-13,2023-07-17,5.0,899.0,Paf69637e208,208.0,2022-11-20,12014.0,2942.0
209,C50c2e82ddd50209,0.0,2023-01-01,2023-02-25,0.0,4721.0,Paf696380209,209.0,2022-09-17,25255.0,1021.0
215,C50c2e82ddd50215,0.0,2022-02-20,2022-03-19,4.0,723.0,Paf696387215,215.0,2022-04-17,38026.0,15370.0
216,C50c2e82ddd50216,1.0,2014-12-13,2014-12-26,4.0,4446.0,Paf698a8f216,216.0,2017-12-28,45677.0,2639.0
218,C50c2e82ddd50218,1.0,2021-01-27,2021-02-11,3.0,4912.0,Paf698a92218,218.0,2022-12-17,23651.0,15120.0
219,C50c2e82ddd50219,0.0,2022-08-14,2022-10-25,0.0,2374.0,Paf698a94219,219.0,2022-01-06,8450.0,4241.0
221,C50c2e82ddd50221,1.0,2018-05-12,2018-06-10,5.0,2950.0,Paf698a97221,221.0,2019-02-26,14110.0,8135.0
226,C50c2e82ddd50226,1.0,2022-07-05,2022-07-13,1.0,2032.0,Paf69b1a5226,226.0,2022-05-17,17262.0,16891.0
229,C50c2e82ddd50229,1.0,2017-10-31,2017-12-08,4.0,675.0,Paf69b1a9229,229.0,2018-01-10,10508.0,1950.0
230,C50c2e82ddd50230,0.0,2023-03-27,2023-04-27,2.0,1828.0,Paf69d8b5230,230.0,2022-11-04,26503.0,13871.0
231,C50c2e82ddd50231,0.0,2022-07-06,2022-07-16,5.0,2866.0,Paf69d8b7231,231.0,2022-02-28,6454.0,3614.0
233,C50c2e82ddd50233,0.0,2015-06-25,2015-07-01,5.0,2031.0,Paf69d8ba233,233.0,2019-04-15,15996.0,10157.0
234,C50c2e82ddd50234,0.0,2020-01-12,2020-03-18,1.0,4428.0,Paf69d8bc234,234.0,2022-02-18,6192.0,5247.0
235,C50c2e82ddd50235,1.0,2022-12-17,2023-01-05,2.0,4987.0,Paf69d8be235,235.0,2022-12-01,32003.0,20455.0
240,C50c2e82ddd50240,0.0,2016-01-08,2016-02-29,2.0,888.0,Paf69ffcb240,240.0,2021-11-27,25933.0,23096.0
241,C50c2e82ddd50241,0.0,2021-10-08,2021-11-07,5.0,4935.0,Paf69ffcd241,241.0,2021-05-05,11979.0,7601.0
242,C50c2e82ddd50242,1.0,2020-05-17,2020-06-13,4.0,3287.0,Paf69ffcf242,242.0,2020-07-03,18486.0,14648.0
243,C50c2e82ddd50243,1.0,2014-12-27,2015-01-11,2.0,120.0,Paf6a26d9243,243.0,2017-01-19,16148.0,3783.0
247,C50c2e82ddd50247,0.0,2021-02-16,2021-04-16,5.0,2174.0,Paf6a26de247,247.0,2021-03-15,26788.0,19843.0
248,C50c2e82ddd50248,1.0,2022-05-15,2022-05-16,2.0,1271.0,Paf6a26e0248,248.0,2022-12-05,8199.0,6403.0
249,C50c2e82ddd50249,1.0,2014-05-01,2014-05-08,4.0,950.0,Paf6a26e2249,249.0,2018-12-13,1877.0,1870.0
250,C50c2e82ddd50250,0.0,2019-07-13,2019-09-02,5.0,4232.0,Paf6a4dec250,250.0,2022-02-26,30655.0,6403.0
253,C50c2e82ddd50253,1.0,2011-08-27,2012-02-25,0.0,1992.0,Paf6a4df0253,253.0,2020-10-24,15168.0,7172.0
255,C50c2e82ddd50255,1.0,2022-11-02,2022-11-14,1.0,1064.0,Paf6a4df3255,255.0,2022-01-17,15574.0,10342.0
264,C50c2e82ddd50264,1.0,2019-01-26,2019-02-24,5.0,3090.0,Paf6a7506264,264.0,2019-12-24,39647.0,20669.0
265,C50c2e82ddd50265,0.0,2016-11-23,2016-11-27,3.0,4961.0,Paf6a7508265,265.0,2017-05-19,12388.0,635.0
267,C50c2e82ddd50267,1.0,2016-11-21,2016-12-09,2.0,4699.0,Paf6a9c12267,267.0,2017-05-02,21717.0,2247.0
271,C50c2e82ddd50271,0.0,2019-03-04,2019-03-17,3.0,674.0,Paf6a9c17271,271.0,2020-09-20,18200.0,14293.0
275,C50c2e82ddd50275,1.0,2017-06-28,2017-08-29,5.0,706.0,Paf6ac324275,275.0,2019-02-19,48102.0,24706.0
277,C50c2e82ddd50277,0.0,2016-07-24,2016-08-04,2.0,2142.0,Paf6ac327277,277.0,2019-09-25,4921.0,3217.0
278,C50c2e82ddd50278,1.0,2007-01-08,2007-02-18,4.0,1451.0,Paf6ac329278,278.0,2014-09-02,25566.0,8245.0
279,C50c2e82ddd50279,1.0,2021-06-09,2021-06-10,5.0,3494.0,Paf6ac32b279,279.0,2021-08-10,26706.0,17196.0
280,C50c2e82ddd50280,0.0,2015-05-27,2015-06-25,2.0,3709.0,Paf6aea33280,280.0,2022-07-11,31861.0,29009.0
282,C50c2e82ddd50282,1.0,2013-07-23,2013-08-05,4.0,267.0,Paf6aea36282,282.0,2020-04-12,39826.0,2060.0
284,C50c2e82ddd50284,1.0,2010-04-12,2010-05-12,2.0,1093.0,Paf6aea39284,284.0,2014-02-27,16364.0,10670.0
285,C50c2e82ddd50285,0.0,2014-01-29,2014-03-05,1.0,3777.0,Paf6b114e285,285.0,2017-01-28,11082.0,1288.0
287,C50c2e82ddd50287,1.0,2021-08-22,2021-10-12,1.0,2129.0,Paf6b1151287,287.0,2022-07-13,40071.0,31180.0
289,C50c2e82ddd50289,1.0,2013-12-01,2013-12-01,2.0,3734.0,Paf6b1154289,289.0,2016-02-12,15133.0,2660.0
293,C50c2e82ddd50293,0.0,2018-07-01,2018-11-11,2.0,1244.0,Paf6b385c293,293.0,2019-09-12,35500.0,5502.0
294,C50c2e82ddd50294,0.0,2022-07-21,2022-07-23,4.0,1382.0,Paf6b385e294,294.0,2022-11-23,42963.0,5818.0
295,C50c2e82ddd50295,1.0,2011-07-01,2011-10-24,1.0,3382.0,Paf6b3860295,295.0,2014-02-20,24636.0,18633.0
296,C50c2e82ddd50296,0.0,2002-06-07,2002-12-05,0.0,4769.0,Paf6b3862296,296.0,2018-08-25,48782.0,17333.0
297,C50c2e82ddd50297,0.0,2014-12-16,2015-01-17,5.0,1106.0,Paf6b5f6b297,297.0,2017-11-06,42203.0,22170.0
298,C50c2e82ddd50298,0.0,2018-01-03,2018-01-30,0.0,1778.0,Paf6b5f6d298,298.0,2018-11-05,25639.0,18087.0
301,C50c2e82ddd50301,1.0,2005-11-18,2005-12-03,2.0,3322.0,Paf6b5f71301,301.0,2013-04-04,41847.0,36042.0
302,C50c2e82ddd50302,1.0,2022-05-12,2022-05-14,2.0,3381.0,Paf6b5f73302,302.0,2022-05-02,48112.0,46706.0
305,C50c2e82ddd50305,1.0,2017-10-12,2017-10-21,2.0,3351.0,Paf6b867f305,305.0,2022-01-13,29586.0,25660.0
306,C50c2e82ddd50306,1.0,2008-11-27,2009-03-03,1.0,808.0,Paf6b8681306,306.0,2011-09-19,7973.0,1725.0
307,C50c2e82ddd50307,1.0,2018-06-11,2018-10-18,1.0,1946.0,Paf6b8683307,307.0,2018-09-22,25666.0,23611.0
308,C50c2e82ddd50308,0.0,2022-07-12,2022-07-13,1.0,3626.0,Paf6b8685308,308.0,2022-05-11,31567.0,22168.0
319,C50c2e82ddd50319,0.0,2023-02-11,2023-03-01,4.0,1139.0,Paf6bad99319,319.0,2022-05-11,4169.0,970.0
321,C50c2e82ddd50321,0.0,2020-07-09,2020-07-16,0.0,293.0,Paf6bd4a3321,321.0,2019-07-12,9455.0,6413.0
322,C50c2e82ddd50322,1.0,2023-02-01,2023-05-21,0.0,4965.0,Paf6bd4a5322,322.0,2022-11-19,8965.0,8352.0
323,C50c2e82ddd50323,0.0,2020-10-24,2020-10-31,0.0,3559.0,Paf6bd4a7323,323.0,2021-11-20,26337.0,8492.0
326,C50c2e82ddd50326,0.0,2021-05-02,2021-06-19,4.0,1316.0,Paf6bd4ab326,326.0,2021-12-26,37622.0,7985.0
327,C50c2e82ddd50327,0.0,2013-11-02,2013-12-21,3.0,4428.0,Paf6bfbb5327,327.0,2019-08-25,12114.0,4166.0
328,C50c2e82ddd50328,0.0,2017-10-18,2017-12-31,1.0,294.0,Paf6bfbb7328,328.0,2018-07-14,14160.0,9869.0
329,C50c2e82ddd50329,0.0,2006-12-02,2006-12-07,0.0,869.0,Paf6bfbb9329,329.0,2011-12-03,33720.0,17051.0
331,C50c2e82ddd50331,0.0,2021-09-26,2021-10-23,5.0,1990.0,Paf6bfbbc331,331.0,2022-10-05,45641.0,17966.0
333,C50c2e82ddd50333,0.0,2022-12-13,2022-12-20,1.0,1072.0,Paf6c22c7333,333.0,2022-12-07,38426.0,36753.0
334,C50c2e82ddd50334,1.0,2022-03-23,2022-06-16,2.0,1892.0,Paf6c22c9334,334.0,2022-11-25,36283.0,35581.0
335,C50c2e82ddd50335,1.0,2021-04-09,2021-06-30,0.0,4655.0,Paf6c22cb335,335.0,2021-07-12,16996.0,13101.0
336,C50c2e82ddd50336,0.0,2019-06-08,2019-11-21,1.0,1650.0,Paf6c22cd336,336.0,2020-02-28,3518.0,816.0
338,C50c2e82ddd50338,1.0,2015-05-14,2015-05-27,1.0,2951.0,Paf6c49d9338,338.0,2015-08-02,25072.0,15183.0
340,C50c2e82ddd50340,0.0,2017-12-29,2018-09-22,1.0,4530.0,Paf6c49dc340,340.0,2022-05-21,45037.0,43219.0
342,C50c2e82ddd50342,0.0,2020-03-06,2020-04-05,4.0,4032.0,Paf6c49df342,342.0,2019-04-10,37992.0,24760.0
348,C50c2e82ddd50348,1.0,2022-12-24,2023-04-04,5.0,959.0,Paf6c70ec348,348.0,2022-06-28,46870.0,23836.0
349,C50c2e82ddd50349,1.0,2016-11-30,2016-12-03,0.0,2181.0,Paf6c70ee349,349.0,2016-01-13,47233.0,9024.0
350,C50c2e82ddd50350,1.0,2020-06-12,2020-06-16,1.0,3933.0,Paf6c70f0350,350.0,2020-06-16,33239.0,5541.0
351,C50c2e82ddd50351,1.0,2007-05-04,2007-06-21,2.0,1382.0,Paf6c70f2351,351.0,2010-07-01,33213.0,9623.0
352,C50c2e82ddd50352,1.0,2014-11-21,2014-11-24,5.0,2101.0,Paf6c97fc352,352.0,2014-01-27,6150.0,4922.0
354,C50c2e82ddd50354,0.0,2012-08-29,2012-09-19,3.0,1568.0,Paf6c97ff354,354.0,2014-01-02,41898.0,38179.0
356,C50c2e82ddd50356,1.0,2020-02-17,2020-06-10,5.0,3949.0,Paf6c9802356,356.0,2021-04-07,38496.0,29727.0
360,C50c2e82ddd50360,1.0,2021-11-22,2021-12-01,2.0,3811.0,Paf6cbf0e360,360.0,2022-04-26,19792.0,5635.0
364,C50c2e82ddd50364,0.0,2018-02-27,2018-03-25,1.0,2896.0,Paf6cbf13364,364.0,2020-12-08,22729.0,13626.0
367,C50c2e82ddd50367,1.0,2013-06-30,2013-07-01,2.0,1357.0,Paf6cbf17367,367.0,2018-06-27,34117.0,3412.0
368,C50c2e82ddd50368,0.0,2015-09-13,2015-09-24,2.0,629.0,Paf6ce620368,368.0,2020-05-02,38538.0,10586.0
370,C50c2e82ddd50370,1.0,2023-01-17,2023-01-28,2.0,4012.0,Paf6ce623370,370.0,2022-10-21,41217.0,40043.0
372,C50c2e82ddd50372,1.0,2020-11-08,2020-11-11,4.0,1040.0,Paf6ce626372,372.0,2020-07-23,10647.0,2298.0
373,C50c2e82ddd50373,1.0,2017-05-07,2017-05-09,2.0,2687.0,Paf6ce628373,373.0,2016-01-21,21099.0,13962.0
375,C50c2e82ddd50375,0.0,2019-10-05,2020-01-08,0.0,3729.0,Paf6d0d35375,375.0,2021-12-12,19942.0,19005.0
377,C50c2e82ddd50377,0.0,2021-10-07,2022-02-22,1.0,3279.0,Paf6d0d38377,377.0,2021-11-01,22221.0,7314.0
378,C50c2e82ddd50378,0.0,2008-06-10,2008-06-18,1.0,281.0,Paf6d0d3a378,378.0,2012-11-18,1971.0,858.0
380,C50c2e82ddd50380,1.0,2023-04-30,2023-05-16,0.0,4309.0,Paf6d3446380,380.0,2022-12-16,9785.0,8843.0
382,C50c2e82ddd50382,0.0,2021-10-20,2021-11-30,4.0,4829.0,Paf6d3449382,382.0,2022-02-19,27920.0,18015.0
384,C50c2e82ddd50384,0.0,2021-10-07,2021-12-10,2.0,2966.0,Paf6d344c384,384.0,2022-07-18,41813.0,24449.0
387,C50c2e82ddd50387,0.0,2022-12-24,2023-02-13,4.0,1526.0,Paf6d5b58387,387.0,2022-04-15,2689.0,1294.0
391,C50c2e82ddd50391,0.0,2013-02-22,2013-10-04,4.0,978.0,Paf6d5b5d391,391.0,2013-05-09,22595.0,14812.0
396,C50c2e82ddd50396,0.0,2021-09-18,2022-01-10,3.0,2855.0,Paf6d826f396,396.0,2022-02-23,40089.0,11064.0
398,C50c2e82ddd50398,1.0,2021-05-04,2021-07-18,3.0,2087.0,Paf6d8272398,398.0,2021-08-24,37678.0,27917.0
399,C50c2e82ddd50399,1.0,2007-01-06,2007-05-05,0.0,1029.0,Paf6d8274399,399.0,2015-03-08,29916.0,20019.0
402,C50c2e82ddd50402,0.0,2019-03-29,2019-05-06,0.0,695.0,Paf6da97c402,402.0,2019-09-11,4984.0,1521.0
403,C50c2e82ddd50403,1.0,2019-01-28,2019-03-22,3.0,2121.0,Paf6da97e403,403.0,2019-03-10,13142.0,3389.0
407,C50c2e82ddd50407,1.0,2017-02-16,2017-03-30,3.0,1593.0,Paf6da983407,407.0,2022-07-03,27891.0,18589.0
408,C50c2e82ddd50408,0.0,2019-07-27,2019-11-12,3.0,2018.0,Paf6da985408,408.0,2021-02-25,19129.0,18061.0
409,C50c2e82ddd50409,0.0,2014-12-10,2014-12-31,3.0,4572.0,Paf6dd08e409,409.0,2022-04-03,39478.0,3124.0
410,C50c2e82ddd50410,1.0,2015-11-03,2016-01-26,4.0,2197.0,Paf6dd090410,410.0,2022-04-07,14788.0,11779.0
415,C50c2e82ddd50415,1.0,2016-07-05,2016-12-23,0.0,3150.0,Paf6dd096415,415.0,2019-11-20,1538.0,896.0
416,C50c2e82ddd50416,0.0,2013-02-17,2013-03-28,0.0,3120.0,Paf6df7a1416,416.0,2015-02-20,2686.0,746.0
417,C50c2e82ddd50417,0.0,2022-09-08,2022-09-19,2.0,559.0,Paf6df7a3417,417.0,2022-08-20,41387.0,21007.0
