,ad_c_direct_mail_id,ad_c_direct_mail_initiative_id,ad_c_direct_mail_mail_type,ad_c_direct_mail_carrier,ad_c_direct_mail_tracking_id,ad_c_direct_mail_sent_date,ad_c_direct_mail_delivered_date,ad_c_direct_mail_response,ad_c_direct_mail_updated_by,ad_c_direct_mail_updated_time,ad_c_direct_mail_created_by,ad_c_direct_mail_created_time
27,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
28,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
29,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
30,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
31,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
32,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
33,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
34,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
35,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
36,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
37,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
38,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
39,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
40,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
41,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
42,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
43,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
44,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
45,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
46,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
47,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
48,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
49,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
50,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
51,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
52,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
53,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
54,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
55,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
56,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
57,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
58,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
59,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
60,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
61,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
62,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
63,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
64,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
65,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
66,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
67,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
68,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
69,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
70,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
71,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
72,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
73,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
74,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
75,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
76,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
77,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
78,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
79,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
80,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
81,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
82,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
83,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
84,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
85,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
86,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
87,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
88,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
89,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
90,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
91,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
92,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
93,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
94,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
95,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
96,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
97,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
98,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
99,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
100,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
101,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
102,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
103,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
104,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
105,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
106,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
107,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
108,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
109,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
110,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
111,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
112,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
113,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
114,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
115,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
116,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
117,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
118,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
119,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
120,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
121,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
122,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
123,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
124,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
125,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
126,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
127,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
128,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
129,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
130,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
131,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
132,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
133,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
134,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
135,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
136,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
137,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
138,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
139,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
140,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
141,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
142,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
143,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
144,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
145,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
146,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
147,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
148,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
149,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
150,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
151,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
152,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
153,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
154,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
155,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
156,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
157,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
158,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
159,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
160,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
161,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
162,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
163,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
164,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
